epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.0088,4.5286,2.4671,0.03831,0.29128,0.03795,0.02606,2.0698,4.7822,2.594,0.00990447,0.00990447,0.00990447
2,1.9708,4.4459,2.4516,0.07647,0.31997,0.03199,0.04329,2.0374,4.8194,2.5353,0.01010165,0.01010165,0.01010165
3,1.915,4.3861,2.423,0.09431,0.33626,0.04199,0.05581,2.0285,4.7565,2.5264,0.01015584,0.01015584,0.01015584
4,1.9132,4.3621,2.399,0.10075,0.34542,0.06243,0.06652,2.0107,4.697,2.4749,0.01003739,0.01003739,0.01003739
5,1.8956,4.3449,2.4017,0.11669,0.34453,0.07467,0.06354,1.9968,4.6032,2.4767,0.00997403,0.00997403,0.00997403
6,1.8798,4.2625,2.4045,0.13468,0.35481,0.08292,0.08751,1.9458,4.637,2.4079,0.00994422,0.00994422,0.00994422
7,1.8513,4.2404,2.4016,0.15124,0.39532,0.07609,0.10765,1.9191,4.6209,2.4301,0.01002422,0.01002422,0.01002422
8,1.8416,4.2118,2.3774,0.17393,0.4153,0.10051,0.13459,1.9058,4.5953,2.419,0.01001438,0.01001438,0.01001438
9,1.8008,4.2457,2.3526,0.18985,0.44626,0.10502,0.15701,1.8518,4.4751,2.4446,0.01000843,0.01000843,0.01000843
10,1.7531,4.1524,2.3434,0.20066,0.459,0.1296,0.16869,1.8537,4.421,2.4249,0.00985102,0.00985102,0.00985102
11,1.7189,4.0502,2.3283,0.20558,0.45267,0.12825,0.18533,1.797,4.4127,2.4626,0.00996964,0.00996964,0.00996964
12,1.7423,4.0115,2.284,0.2251,0.43957,0.14094,0.1887,1.815,4.2778,2.4695,0.01002641,0.01002641,0.01002641
13,1.7333,3.953,2.323,0.23967,0.43747,0.14141,0.18705,1.8386,4.2304,2.4481,0.00994328,0.00994328,0.00994328
14,1.6996,3.9501,2.2968,0.25677,0.46746,0.15044,0.19652,1.8255,4.1673,2.4046,0.01006028,0.01006028,0.01006028
15,1.6827,3.8971,2.2892,0.26695,0.4935,0.15281,0.19238,1.7973,4.1357,2.4087,0.00997324,0.00997324,0.00997324
16,1.6585,3.834,2.2812,0.29116,0.49946,0.15246,0.20475,1.8026,4.0406,2.3796,0.0099889,0.0099889,0.0099889
17,1.6215,3.849,2.2628,0.29466,0.52304,0.16671,0.19324,1.7646,3.9566,2.3879,0.010041,0.010041,0.010041
18,1.6507,3.801,2.2485,0.29037,0.55239,0.17074,0.20698,1.7755,3.8543,2.3555,0.01016341,0.01016341,0.01016341
19,1.6537,3.708,2.1993,0.3041,0.55823,0.186,0.2077,1.7656,3.8361,2.2398,0.00994009,0.00994009,0.00994009
20,1.6382,3.6641,2.1969,0.32469,0.55643,0.20418,0.21136,1.7174,3.8689,2.2494,0.01001775,0.01001775,0.01001775
